Disease	Type	Country	Symptom	Transmission
Vibrio tubiashii				
Vibrio vulnificus	bacteria	united states 	vomiting; chills; blister; abdominal pain	blood; respiratory; food
Waterhouse–Friderichsen syndrome				
Whooping cough	bacteria	india ; china ; israel ; australia ; japan ; united states 	cough; fatigue; sneezing; vomiting; runny nose	respiratory; blood; sex
Xanthogranulomatous osteomyelitis				
Yersinia pestis	bacteria	vietnam ; china ; india ; hong kong ; russia ; mongolia ; mexico ; germany ; algeria ; poland ; armenia ; switzerland ; sweden ; united states 	vomiting; cough; sneezing	blood; oral; food; contact; urine
Yersiniosis	bacteria		joint pain; abdominal pain; skin rash	blood
Smallpox	virus	india ; china ; liechtenstein ; japan ; russia ; georgia ; germany ; spain ; philippines ; poland ; netherlands ; sweden ; united states ; canada ; oman ; brazil ; iran ; south africa ; mexico ; chile ; kenya ; uganda ; syria ; ethiopia ; peru ; angola ; australia ; bolivia ; new zealand ; indonesia ; uzbekistan ; israel ; jersey ; pakistan ; denmark ; iceland 	coma; mild fever; vomiting; depression; headache; high fever; cough; neck pain	blood; food; contact; respiratory; oral; fomite
COVID-19	virus	spain ; norway ; india ; lesotho ; thailand ; romania ; canada ; philippines ; south africa ; mexico ; chile ; indonesia ; nigeria ; belgium ; china ; cuba ; japan ; iceland ; botswana ; sweden ; austria ; united states ; united kingdom ; russia ; iraq ; ghana ; portugal ; brazil ; ecuador ; egypt ; oman ; italy ; singapore ; pakistan ; iran ; yemen ; ukraine ; australia ; new zealand ; france ; germany ; nepal ; hong kong ; vietnam ; georgia ; macau ; taiwan ; chad ; switzerland ; malaysia ; finland ; samoa ; fiji ; cambodia ; armenia ; liberia ; turkey ; kuwait ; czech republic ; kenya ; jordan ; turkmenistan ; qatar ; brunei ; greece ; cook islands ; belarus ; luxembourg ; malawi ; sierra leone ; mauritania ; panama ; french polynesia ; zimbabwe ; estonia ; azerbaijan ; slovakia ; comoros ; new caledonia ; faroe islands ; hungary ; monaco ; latvia ; el salvador ; san marino ; serbia ; angola ; guatemala ; zambia ; burundi ; sri lanka ; paraguay ; bulgaria ; mozambique ; uzbekistan ; senegal ; haiti ; moldova ; macedonia ; algeria ; cyprus ; albania ; tajikistan ; benin ; cameroon ; tanzania ; sudan ; uganda ; netherlands ; israel ; ethiopia ; peru ; colombia ; uruguay ; honduras ; nicaragua ; namibia ; poland ; lithuania ; morocco ; seychelles ; croatia ; saudi arabia ; malta ; argentina ; bahrain ; lebanon ; kazakhstan ; costa rica ; kyrgyzstan ; denmark ; east timor ; togo ; gibraltar ; libya ; bolivia ; united arab emirates ; laos ; dominican republic ; venezuela ; mali ; papua new guinea ; slovenia ; afghanistan ; tunisia ; mauritius ; syria ; bhutan ; bangladesh ; solomon islands ; burkina faso ; ireland ; mongolia ; equatorial guinea ; rwanda ; reunion ; guam ; palau ; bermuda ; guadeloupe ; grenada ; madagascar ; jersey ; puerto rico ; cayman islands ; jamaica ; virgin islands ; barbados ; maldives ; guernsey ; liechtenstein ; andorra ; suriname ; niger ; cape verde ; greenland ; djibouti ; martinique ; west bank ; anguilla ; gabon ; saint lucia ; guinea-bissau ; mayotte ; saint vincent and the grenadines ; somalia ; montserrat ; guyana ; belize ; isle of man ; dominica ; eritrea ; aruba ; wallis and futuna ; french guiana ; vanuatu ; trinidad & tobago ; marshall islands ; swaziland ; western sahara ; saint helena ; tuvalu ; american samoa ; nauru ; kiribati ; tonga ; gaza strip ; antigua & barbuda ; cote d'ivoire ; sao tome & principe ; ıran ; korea, north ; korea, south ; less-developed	anxiety; joint pain; muscle weakness; headache; obesity; fatigue; depression; runny nose; muscle pain; malaise; abdominal pain; cough; congestion; loss of smell; diarrhoea; vomiting; high fever; coma; nausea; chest pain; mood swings; sneezing; acute liver failure; fluid overload; lethargy; itching; chills; dizziness; palpitations; blister; bruising; sweating; dehydration; loss of appetite; weight loss; irritability	oral; blood; sex; respiratory; food; contact; fecal; fomite; urine; saliva
Plague (disease)	bacteria	madagascar ; united states ; kyrgyzstan 	nausea; headache; chills; chest pain; cough; sneezing; vomiting	fecal; oral; blood; sex; respiratory; urine; food; contact
